Titre,Auteur,Date,Nombre de citations,Journal,Référence,Lien,BD
Understanding radical organizational change: Bringing together the old and the new institutionalism,Greenwood R ; Hinings CR,1996,1315,Academy of management review,Volume : 21 Issue : 4 Pages : 1022-1054,https://www.jstor.org/stable/259163?origin=crossref&seq=1#metadata_info_tab_contents,Web of science
Organizational change: A review of theory and research in the 1990s,Armenakis AA ; Bedeian AG,1999,519,Journal of management,Volume : 25 Issue : 3 Pages : 293-315,https://journals.sagepub.com/doi/abs/10.1177/014920639902500303?casa_token=xfIIw-XsIkEAAAAA:BZBR4g4Kprie1AhnNUt0neGZBTrY1vh17yrDkpaJKw92zOh6RTRuDBDX3M1K5Kmjr63hF1Nd5ESRPg,Web of science
A theory of organizational readiness for change,Weiner Bryan J,2009,492,Mplementation science,Volume : 4 Article Numbe : 67,https://implementationscience.biomedcentral.com/track/pdf/10.1186/1748-5908-4-67,Web of Science
Alternative approaches for studying organizational change,de Ven AHV ; Poole MS,2005,238,Organization studies,Volume : 26 Issue : 9 Pages : 1377-1404,https://journals.sagepub.com/doi/10.1177/0170840605056907,Web of science
The impact of leadership and change management strategy on organizational culture and individual acceptance of change during a merger,Kavanagh Marie ; Ashkanasy Neal,2006,197,British journal of management,Volume : 17 Pages : 1377-1405 Supplement : 1 ,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8551.2006.00480.x,Web of science
The impact of leadership and change management strategy on organizational culture and individual acceptance of change during a merger,Kavanagh MH ; Ashkanasy NM,2006,197,British journal of management,Volume : 17 Supplement : 1 Pages : S81-S103 ,https://eprints.usq.edu.au/6362/3/Kavanagh_Ashkanasy_2006_AV.pdf,Web of Science
"Readiness for organizational change: A longitudinal study of workplace, psychological and behavioural correlates",Cunningham CE ; Woodward CA ; Shannon HS ; et al.,2002,196,Journal of occupational and organizational psychology,Volume : 75 Pages : 377-392 Part : 4,https://onlinelibrary.wiley.com/doi/epdf/10.1348/096317902321119637,Web of science
Beyond change management: A multilevel investigation of contextual and personal influences on employees' commitment to change,Herold David M ; Fedor Donald B ; Caldwell Steven D,2007,169,Journal of applied psychology,Volume : 92 Issue : 4 Pages : 942-951,https://psycnet.apa.org/doiLanding?doi=10.1037%2F0021-9010.92.4.942,Web of science
Improving Change Management: How Communication Nature Influences Resistance To Change,Paula Matos Marques Simoes ; Esposito Mark,2011,137,IDEAS Working Paper Series from repec,Volume : 33 Issue : 4 Pages : 324-341,https://www.emerald.com/insight/content/doi/10.1108/JMD-05-2012-0058/full/html?casa_token=kDmN3rkxBcMAAAAA:68ivFmOKvyDXeCmAD2sGwi1ou3ighCd0_-J7TCTt614eUibyfXDWXGjHyWaajkuOmukuChwTn5b3mwdKJ-pD1ngDRcWtwYhsyvJ6vBe4dnh0pyGg97Ga,ABI/inform
Beyond the charismatic leader - leadership and organizational-change,Nadler David ; Tushman Michael,1990,136,California management review,Volume : 32 Issue : 2 Pages : 77-97,https://journals.sagepub.com/doi/10.2307/41166606,Web of science
Implementing Change in Public Organizations: The relationship between leadership and affective commitment to change in a public sector context,Van der Voet Joris ; Kuipers Ben S ; Groeneveld Sandra,2016,134,Public management review,Volume : 18 Issue : 6 Pages : 842-865,https://www.tandfonline.com/doi/full/10.1080/14719037.2015.1045020,ABI/inform
The management of change in public organizations: a literature review,Kuipers Ben S ; Higgs Malcolm ; Kickert Walter ; et al.,2014,131,Public administration,Volume : 92 Issue : 1 Pages : 1-20,https://onlinelibrary.wiley.com/doi/full/10.1111/padm.12040,Web of Science
Individual Readiness for Organizational Change and Its Implications for Human Resource and Organization Development,Choi Myungweon ; Ruona Wendy E A,2011,118,Human resource development review,Volume : 10 Issue : 1 Pages : 46+,https://journals.sagepub.com/doi/pdf/10.1177/1534484310384957?casa_token=OoTkLfWr-JkAAAAA:jYwwCrqqKGdxnbWNMTp4yzFkL7zgTGxXbydneLF-b0lgyn23C-fPo1eYyTjcrhv2JIOKO2MQAjQqYw,ABI/inform
Leadership competencies for implementing planned organizational change,Battilana Julie ; Gilmartin Mattia ; Sengul Metin ; Pache Anne-Claire ; Alexander Jeffrey A,2010,113,Leadership quarterly,Volume : 21 Issue : 3 Pages : 422-438,https://www.sciencedirect.com/science/article/pii/S104898431000055X?casa_token=EBW41Kea_xIAAAAA:AOKfXcaK6KaJXZzBHpjDI77vO6GiOhoFa8fo072ueeS2WyUUAcWjPIRoc93ilkecHFXFOK55mQE,ABI/inform
Servitization: revisiting the state-of-the-art and research priorities,Baines Tim ; Bigdeli Ali Ziaee ; Bustinza Oscar F ; et al.,2017,106,International journal of operations & production management,Volume : 37 Issue : 2 Pages : 256-278,http://eprints.whiterose.ac.uk/112622/7/Baines%20et%20al%202016%20-%20SZ%20State%20of%20the%20Art.2-29.pdf,Web of Science
Managing change: Steering a course between intended strategies and unanticipated outcomes,Balogun J,2006,91,Long range planning,Volume : 39 Issue: 1 Pages: 29-49,https://researchportal.bath.ac.uk/en/publications/managing-change-steering-a-course-between-intended-strategies-and,Web of Science
The hard side of change management,Sirkin HL ; Keenan P ; Jackson A,2005,85,Harward Bussiness review,Volume : 83 Issue : 10 Pages : 108+,https://scholar.google.com/scholar_lookup?author=H%20Sirkin&atitle=The%20hard%20side%20of%20change%20management&publication_year=2005&hl=en&journal=HARVARD%20BUSINESS%20REVIEW&volume=83&issue=10&pages=108-+&issn=0017-8012&pmid=16250629,Web of science
Haunted by the Past: Effects of Poor Change Management History on Employee Attitudes and Turnover,Bordia Prashant ; Restubog Simon Lloyd D ; Jimmieson Nerina L ; Irmer Bernd E,2011,73,Group & organization management,Volume : 36 Issue : 2 Pages : 191-222,https://journals.sagepub.com/doi/10.1177/1059601110392990,ABI/inform
Utilizing the Theory of Planned Behavior to Inform Change Management An Investigation of Employee Intentions to Support Organizational Change,Jimmieson Nerina L ; Peach Megan ; White Katherine M,2008,73,Journal of applied behavioral science,Volume : 44 Issue : 2 Pages : 237-262,https://eprints.qut.edu.au/13573/1/13573.pdf,Web of Science
Linking Change Drivers and the Organizational Change Process: A Review and Synthesis,Whelan-Berry Karen S ; Somerville Karen A,2010,72,Journal of change management,Volume : 10 Issue : 2 Pages : 175+,https://www.tandfonline.com/doi/full/10.1080/14697011003795651?casa_token=lnRBDtDQDIgAAAAA:p2j18oNkIpewVYDgCSU8l5BYZrWjFNSttKLMyn7leCQtqCul_V68ebp41TwKVciFmSMqjap_msIp1Q,ABI/inform
CHANGE MANAGEMENT Accelerate!,Kotter John P,2012,68,Harward Bussiness review,Volume : 90 Issue : 11 Pages : 44+,https://europepmc.org/article/med/23155997,Web of science
Are Commitment Profiles Stable and Predictable? A Latent Transition Analysis,Kam Chester ; Morin Alexandre J S ; Meyer John P ; et al.,2016,66,Journal of management,Volume : 42 Issue : 6 Pages : 1462-1490,https://journals.sagepub.com/doi/full/10.1177/0149206313503010,Web of Science
"Empowerment, Predisposition to Resist Change, and Support for Organizational Change",Lamm Eric ; Gordon Judith R,2010,65,Journal of Leadership & Organizational Studies,Volume : 17 Issue : 4 Pages : 426+,https://journals.sagepub.com/doi/pdf/10.1177/1548051809355595?casa_token=As5_onVZqlIAAAAA:doVshsmQDGhyuqeNDpaFNlUIvnT5IcRIw8T7f65vWnXN6o0RslXUQzE5LdYX1LUBcmLdInf4ua8sxA,ABI/inform
Managing Organizational Change: A Philosophies of Change Approach,Graetz Fiona ; Smith Aaron C T,2010,64,Journal of change management,Volume : 10 Issue : 2 Pages : 135+,https://www.tandfonline.com/doi/full/10.1080/14697011003795602?casa_token=T1xZkknfvwQAAAAA:_8J9axhif9NLoUhEFScta6v-a6AaYqZWvnzD0_T_3HuMal-lZ-tMgypodCQxPYc5VzmwxsMLSNyteg,ABI/inform
The integration of project management and organizational change management is now a necessity,Hornstein Henry A,2015,61,International Journal of Project Management,Volume : 33 Issue : 2 Pages : 291-298,https://www.sciencedirect.com/science/article/pii/S0263786314001331?via%3Dihub,Web of science
Process-orientation versus outcome-orientation during organizational change: The role of organizational identification,Van Knippenberg Barbara ; Martin Linda ; Tyler Tom,2006,58,Journal of organizational behavior,Volume : 27 Issue : 6 Pages : 685-704,https://research.vu.nl/ws/files/2142846/knippenberg%20Journal%20of%20Organizational%20Behavior%2027%202006%20u.pdf,Web of Science
Crafting the Change: The Role of Employee Job Crafting Behaviors for Successful Organizational Change,"Petrou, Paraskevas ; Demerouti, Evangelia ; Schaufeli, Wilmar B.",2018,42,Journal of management,Volume : 44 Issue : 5 Pages : 1766-1792,https://journals.sagepub.com/doi/full/10.1177/0149206315624961,Web of Science
How did the publication of the book The Machine That Changed The World change management thinking? Exploring 25 years of lean literatur,Samuel Donna ; Found Pauline ; Williams Sharon J,2015,39,International journal of operations & production management,Volume : 35 Issue : 10 Pages : 1386-1407,http://bear.buckingham.ac.uk/116/8/25%20years%20of%20Lean%20final_pre-print%20copy.pdf,Web of Science
Exploring the interrelationship among patterns of service strategy changes and organizational design elements,Gebauer Heiko ; Fischer Thomas ; Fleisch Elgar,2010,37,Journal of service management,Volume : 21 Issue : 1 Pages : 103-129,https://www.alexandria.unisg.ch/57635/1/gebauer%2C%20fischer%2C%20fleisch%202010_patterns%20of%20service%20strategy%20changes%20and%20organizational%20design%20elements.pdf,Web of Science
E-business and organisational change - Reconciling traditional values with business transformation,Jackson P ; Harris L,2003,33,Journal of organizational change management,Volume : 16 Issue : 5 Pages : 497-511,https://www.emerald.com/insight/content/doi/10.1108/09534810310494900/full/html#loginreload,Web of Science
Who is in charge? A review and a research agenda on the 'human side' of the circular economy,Jabbour Charbel Jose Chiappetta ; Sarkis Joseph ; Jabbour Ana Beatriz Lopes de Sousa ; et al.,2019,30,Journal of cleaner production,Volume : 222 Pages : 793-801,https://reader.elsevier.com/reader/sd/pii/S0959652619307279?token=EBD15EE223973F69D57197DE2F2E8442DEDA5F19EE3085A1C3C835107A63D02F6B087C2846E89010D63B9E5E5632FE50,Web of Science
Internal change agents' view of the management of change problem,Saka A,2003,29,Journal of organizational change management,Volume : 16 Issue : 5 Pages : 480-496,http://epubs.surrey.ac.uk/712670/3/saka_internal.pdf,Web of Science
Change management practices: Impact on perceived change results,Raineri Andrés B,2011,28,Journal of Business Research,Volume : 64 Issue : 3 Pages : 266+,https://www.sciencedirect.com/science/article/abs/pii/S0148296309002999?via%3Dihub,ABI/inform
