Nom,Description,Quand,Participants,Temps de conception,Temps d'activité,Objectifs,Matériel,Avantages,Inconvénients,Modalité,Temporalité,Ressources,Source
Quizz,Questionnaire à choix multiples portant sur le contenu du cours ou sur les connaissances préalables des participants,"À plusieurs moments, pour des objectifs différents :
* En début de module
* En cours de module
* En fin de module",Utilisable jusqu’à de grands groupes d’apprenants,Moyen,Court,"* En début de module pour évaluer les connaissances pré-existantes
* En cours de module pour évaluer la compréhension
* En fin de module, pour évaluer l’acquisition des connaissances",Outil de quizz interactif en ligne / ordinateur / beamer,"* Retrouver l’attention des apprenants après une période “magistrale”.
* Approche participative ; Faire participer des apprenants plus en retrait.
* Feedback immédiat.
* Prise en charge de son apprentissage par l’apprenant.",Les feedbacks doivent être plus complets que juste/faux pour être utiles et rappeler la notion.,Hybride,Synchrone et Asynchrone,Socrative (US - payant) / Evalbox (FR - gratuit) / Kahoot / Wooclap,"THOT CURSUS, 2018. Des quizz pour plus d'interactions en classe. *Thot Cursus* [en ligne]. 17 septembre 2018. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://cursus.edu/articles/41919/des-quizz-pour-plus-dinteractions-en-classe"" class=""dont-break-out"">https://cursus.edu/articles/41919/des-quizz-pour-plus-dinteractions-en-classe</a>"
Capsule vidéo,"Une séquence filmée, de courte durée et basée sur un scénario. Elle permet de développer de manière synthétique une idée, une notion ou un thème.",En différé de la formation comme support de présentations dynamiques.,Utilisable jusqu’à de grands groupes d’apprenants,Moyen,Court (5min),"Capter l’attention, illustrer et résumer des notions d’apprentissage.","* Ordinateur et logiciel d’animation (et d’enregistrement pour un accompagnement audio) pour la création.
* Ordinateur ou smartphone pour le visionnage.","* C’est un support attractif.
* Elle est accessible à tout moment, en différé de l’apprentissage.
* L’apprenant peut manipuler la vidéo selon son besoin (défilement, pause).",N’est pas adapté à l'acquisition d’informations complexes demandant plus de temps.,Hybride,Synchrone et Asynchrone,,"LARONDE, Frédéric, 2020. La Capsule au service de la pédagogie. *Académie de Bordeaux* [en ligne]. mars 2020. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://blogacabdx.ac-bordeaux.fr/0331876k/wp-content/uploads/sites/34/2020/03/Tutoriel-pour-créer-une-capsule-pédagogique.pdf"" class=""dont-break-out"">https://blogacabdx.ac-bordeaux.fr/0331876k/wp-content/uploads/sites/34/2020/03/Tutoriel-pour-créer-une-capsule-pédagogique.pdf</a>

DREMEAU, Isabelle, 2018. Qu’est-ce qu’une capsule vidéo ?. *L'Atelier du formateur* [en ligne]. 6 avril 2018. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://latelierduformateur.fr/quest-ce-quune-capsule-video/"" class=""dont-break-out"">https://latelierduformateur.fr/quest-ce-quune-capsule-video/</a>"
Questionnaire,Les questionnaires sont des ensembles de questions (à choix et/ou réponses libres) préparés à l'avance et soumis aux apprenants en tant qu’activité individuelle.,"* Pré-formation
* Post-formation",Utilisable jusqu’à de grands groupes d’apprenants,Moyen,Moyen,"* Évaluer les connaissances des participants et se familiariser avec leur expérience (en phase pré-formation),
* Évaluer le transfert de connaissances (en phase post-formation),
* Obtenir des retours sur la formation.","* Ordinateur pour la conception (plus imprimante pour les questionnaires papier).
* Ordinateur pour y répondre (ou simple stylo pour les questionnaires papier).","* Peut être fait en différé.
* Supporte un grand nombre de répondants, surtout s’ils sont faits en ligne.","Peut prendre du temps d’analyse, selon le type de questionnaire.",Hybride,Asynchrone,,"TARBOURIECH, Nelly, 2015. Quelques usages pédagogiques des QCM. *Université Grenoble Alpes* [en ligne]. Novembre 2015. Mis à jour le 10 février 2021. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""http://espe-rtd-reflexpro.u-ga.fr/docs/scied-cours-qcm/fr/latest/usages-peda.html"" class=""dont-break-out"">http://espe-rtd-reflexpro.u-ga.fr/docs/scied-cours-qcm/fr/latest/usages-peda.html</a>"
PechaKucha,"Un format de présentation de 20 slides de 20 secondes chacune, pour un total de 6mn40. Des présentations courtes, avec plus de visuels et moins de temps de parole.",En milieu de module de formation pour mettre en oeuvre des connaissances récentes ou en fin de module de formation afin d’aider l’apprentissage et le transfert.,Une personne par présentation.,Moyen,Court (6min 40s),"Transmettre un contenu théorique sous une forme courte, claire et visuelle.","Outil de présentation (Keynote, PowerPoint).","* Les contraintes de présentation strictes donnent un cadre.
* Peut être donné comme exercice à des apprenants pour leur faire présenter, résumer et donc mieux intégrer les connaissances acquises.","N’est pas adapté au traitement d’un sujet complexe et/ou détaillé, qui va nécessiter une présentation plus longue et moins rigide.",Hybride,Synchrone,,"PechaKucha. *Wikipedia : the free encyclopedia* [en ligne]. Dernière modification de la page le 11 juillet 2021 à 22:31. [Consulté le 13 juillet 2021]. Disponible à l’adresse : <a href=""https://en.wikipedia.org/wiki/PechaKucha"" class=""dont-break-out"">https://en.wikipedia.org/wiki/PechaKucha</a>"
Infographie,Document visuel présentant des connaissances sous forme résumé à travers des images et peu de texte.,"À plusieurs moments, pour des objectifs différents :
* En début de module
* En cours de module
* En fin de module  - après la transmission d'une connaissance.",Utilisable jusqu’à de grands groupes d’apprenants,Moyen,Court,Servir de support pour retenir les connaissances les plus importantes grâce à une présentation visuelle attractive.,Ordinateur et logiciel de conception graphique.,"* Peut être aisément réutilisé pour plusieurs formations.
* Adapté aux apprenants avec une mémoire visuelle.","Pas adapté à la présentation d’information complexe, détaillée, ou demandant beaucoup de texte.",,,,
Support écrit,"Document d’accompagnement du module de formation conçu par le formateur à destination des apprenants et reprenant soit tout le contenu présenté durant le module de formation, soit les notions les plus importantes abordées.","* En début de module
* En fin de module",Utilisable jusqu’à de grands groupes d’apprenants,Long,Long,"* En début de module, pour permettre aux apprenants d’avoir un document de suivi du cours.
* En fin de module, permettre aux apprenants de posséder un document de référence et de s’en servir comme rappel des notions abordées durant le module de formation.",Papier / Numérique (PDF),"* Informations complètes et formulées comme voulu par le formateur
* Conservable sur la durée
* Possibilité de révision du contenu post-formation","* Pas de possibilité de mise à jour
* Aspect “massif” et “indigeste” des informations",Hybride,Synchrone et Asynchrone,,"MULLER, Catherine, 2011. Le support écrit de cours : a-t-il encore des raisons d’exister ?. *Cadredesante.com* [en ligne]. 9 mai 2011. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://www.cadredesante.com/spip/profession/pedagogie/article/le-support-ecrit-de-cours-a-t-il"" class=""dont-break-out"">https://www.cadredesante.com/spip/profession/pedagogie/article/le-support-ecrit-de-cours-a-t-il</a>"
Capsule audio,Une capsule audio est un enregistrement sonore en format numérique.,"* Au début du module en introduction
* Ajouter une source d’information grâce à une ressource externe.",Utilisable jusqu’à de grands groupes d’apprenants,Long,Court,"Les capsules audios peuvent appuyer une diversité de scénarios pédagogiques :
* Offrir le point de vue de divers intervenants
* Envoyer un message ponctuel ou régulier aux apprenants (mise à jour, modifications, nouveautés, etc.).","Micro, ordinateur, logiciel d’édition","* Contrôle sur leur expérience d’écoute
* L’audio se prête bien à l’écoute sur des appareils mobiles pendant des déplacements
* Entendre des personnes ou des sons auxquels les étudiants ne peuvent pas toujours avoir accès par un autre moyen
* Créer un lien plus personnel qu’avec le texte
* Elles peuvent servir d’alternative ou de complément aux médias visuels et écrits, ce qui contribue à une approche pédagogique inclusive.",Demande des moyens techniques et du temps de montage.,Hybride,Synchrone et Asynchrone,,"UNIVERSITÉ LAVAL, [sans date]. Capsules audios. *Université Laval* [en ligne]. [sans date]. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://www.enseigner.ulaval.ca/ressources-pedagogiques/capsules-audios"" class=""dont-break-out"">https://www.enseigner.ulaval.ca/ressources-pedagogiques/capsules-audios</a>"
Wiki - Glossaire partagé,Système donnant la possibilité aux apprenants de construire de manière collaborative une base de donnée de leurs connaissances. Le système permet une gestion évolutive des contenus au travers des modifications effectuées par une catégorie d’usagers autorisés.,"À plusieurs moments, pour des objectifs différents :
* Pré-formation
* En cours de module
* En fin de module
* Post-formation",Utilisable jusqu’à de grands groupes d’apprenants,Long,Long,"*Permettre aux apprenants de commenter les documents présentés.
*Présenter les concepts importants dans une structure proche de l’encyclopédie de connaissances
*Evaluer les connaissances pré-existantes
*Suivre le déroulement d’un projet d’équipe
*Effectuer la modélisation des connaissances transmises en classe et permettre aux apprenants d’intervenir dans ce processus
*Structurer un portfolio de connaissances",Un ordinateur et un logiciel d’édition de wiki.,"* Interactivité et co-construction de connaissances.
* Possibilité d'évaluation par les pairs.","* Les fonctionnalités demandent une certaine appropriation.
* Planification nécessaire avant le lancement du wiki (objectifs de l'activité, rôles, finalité).
* La co-construction n’est pas toujours efficace.",Hybride,Synchrone et Asynchrone,,"FARMER, Alain, 2008. Le wiki, un outil de travail collaboratif. *profweb* [en ligne]. 12 octobre 2008. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://www.profweb.ca/publications/dossiers/le-wiki-un-outil-de-travail-collaboratif"" class=""dont-break-out"">https://www.profweb.ca/publications/dossiers/le-wiki-un-outil-de-travail-collaboratif</a>

COOPOOSAMY, Karine, 2013. *Utilisation du Wiki dans l’enseignement supérieur* [en ligne]. Genève : Université de Genève. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://tecfa.unige.ch/tecfa/maltt/memoire/Coopoosami2013.pdf"" class=""dont-break-out"">https://tecfa.unige.ch/tecfa/maltt/memoire/Coopoosami2013.pdf</a>"
Podcast,Le podcast est un enregistrement audio (ou vidéo) qui permet d’écouter et de visionner en ligne ou de télécharger des documents audio et/ou vidéo.,Le podcast est téléchargé et écouté en différé de la formation comme support ou comme version enregistrée de la formation.,Utilisable jusqu’à de grands groupes d’apprenants,"Long. Le podcast est relativement long à concevoir, car en plus du temps d'enregistrement, il est souvent nécessaire d’éditer le contenu pour une grande qualité d’écoute.",Court,Mettre à disposition des apprenants des contenus qu’ils peuvent écouter en décalé et directement depuis leur smartphone.,"* Ordinateur, micro de qualité et logiciel d’édition audio pour l’enregistrement,
* Ordinateur ou smartphone et logiciel de podcast pour l’écoute.","* Permets un apprentissage autonome disponible en tout lieu et en tout temps (Mobile Learning).
* Permets un apprentissage au rythme de l’apprenant (possibilité de mettre en pause, de réécouter un passage).","* Ne Permets pas autant de flexibilité et d’improvisation que lors de formation en présentiel.
* Ne facilite pas l'acquisition d’informations complexes et/ou détaillées.",Distanciel,Asynchrone,,"EDUPRONET, 2014. Utiliser le Podcast comme outil pédagogique. *Edupronet* [en ligne]. 11 novembre 2014. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""http://edupronet.com/utiliser-le-podcast-comme-outil-pedagogique"" class=""dont-break-out"">http://edupronet.com/utiliser-le-podcast-comme-outil-pedagogique</a>

BACHY, Sylviane, DOCQ, Françoise, 2010. *Intégrer les podcasts dans son dispositif pédagogique. Oui, mais dans quel but et comment ?* [en ligne]. Louvain-la-Neuve : Université catholique de Louvain. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://dial.uclouvain.be/pr/boreal/object/boreal%3A78412/datastream/PDF_01/view"" class=""dont-break-out"">https://dial.uclouvain.be/pr/boreal/object/boreal%3A78412/datastream/PDF_01/view</a>

PALADINO-CHRISTIN, Manon, 2015. *Podcasting et autoformation : préférences d'usage et aspects motivationnels : le cas des professionnels des technologie de l'information et de la communication (TIC)* [en ligne]. Genève : Université de Genève. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://archive-ouverte.unige.ch/unige:55039"" class=""dont-break-out"">https://archive-ouverte.unige.ch/unige:55039</a>

DE LIÈVRE, Bruno, TEMPERMAN, Gaëtan, 2009. Développement et usage intégré des podcasts pour l'apprentissage. *Distances et savoirs* [en ligne]. 2009. Vol. 7, pp. 179-190. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""https://www.cairn.info/revue-distances-et-savoirs-2009-2-page-179.htm"" class=""dont-break-out"">https://www.cairn.info/revue-distances-et-savoirs-2009-2-page-179.htm</a>"
Exposé du formateur,Le formateur transmet un contenu et l’apprenant est là pour l’assimiler. La séquence de cours est construite autour d’un exposé magistral.,Durant le module de formation.,Utilisable jusqu’à de grands groupes d’apprenants,Long,Court (10min),Transmission de connaissances théoriques.,Notes du formateur,"* Pertinent pour de courtes séquences.
* Sécurisant pour le formateur.
* S’adapte facilement à des groupes de tailles différentes.
* Réutilisable avec des groupes différentes.","* La progression se fait selon la logique du formateur et pas celle des apprenants.
* Risque de perdre l’attention des apprenants.
* Peu / aucune participation des apprenants.",Hybride,Synchrone,,"AYMAR, Gilles, 2009. Les conditions d'apprentissage des adultes. *Ministère de la transition écologique* [en ligne]. Mars 2009. [Consulté le 13 juillet 2021]. Disponible à l'adresse : <a href=""http://www.cedip.developpement-durable.gouv.fr/IMG/pdf/Fiche_En_Lignes_no_43_cle6faf92-1.pdf"" class=""dont-break-out"">http://www.cedip.developpement-durable.gouv.fr/IMG/pdf/Fiche_En_Lignes_no_43_cle6faf92-1.pdf</a>"
