image,titre,auteur,resume,lien,Durée (minutes),Périodicité 2019,Nombre d'épisode,Langue,Plateforme,Rating (/5),Nombres de commentaires
https://images.transistor.fm/file/transistor/images/show/1267/full_1550789730-artwork.jpg,Change is in the Making Podcast,Domain7,"Change is in the Making is Domain7's podcast about creating purposeful change, together. Drawing from facilitation experience, co-creative practices, systems thinking, design thinking, user-centric design, community mediation and engagement methods, we delve into how to create people-centric organizational change. We'll be discussing themes of listening, empathy, culture-building and connection-making, tackling the complex challenges we face as people, teammates, and organizational innovators.",https://podcasts.apple.com/ca/podcast/change-is-in-the-making-podcast/id1362779259,15-45,5,17,ENG,iTunes,"5,00",12
http://www.enclaria.com/wp-content/uploads/2015/02/ICAWshowicon.jpg,Influence Change at Work,Enclaria Radio,"The position of internal change agent – wherever it falls in the organization – can be a tricky one.
You are responsible for influencing the organization, usually without the direct authority to do so.
This show explores the different ways to influence organizational change, from the point of view of someone who is not calling the shots.
(Formerly The Change Agent's Dilemma show.)",https://podcasts.apple.com/us/podcast/influence-change-at-work/id326086827,20-30,6,97,ENG,iTunes,,
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fis5-ssl.mzstatic.com%2Fimage%2Fthumb%2FPodcasts123%2Fv4%2Fa4%2F2f%2F6f%2Fa42f6f12-ea7f-35fd-8dba-ca64225e2cf5%2Fmza_1185105927164340614.jpg%2F268x0w.jpg&f=1&nofb=1,Conversations of Change,Dr Jen Frahm,A change management podcast with Dr Jen Frahm. I talk with business leaders about the experience of change and transformation.,https://podcasts.apple.com/au/podcast/conversations-of-change/id1130918078,20-50,9,51,ENG,itunes,"4,70",11
https://is4-ssl.mzstatic.com/image/thumb/Music71/v4/65/67/e9/6567e9b3-c78e-e440-8cec-d9f903bcccbb/source/1200x630bb.jpg,Making Positive Psychology Work,Michelle McQuaid,"If you believe as I do that by uncovering tested, practical ways to help people move from functioning to flourishing at work, we can better navigate the incredible challenges and opportunities our world faces, then this podcast is for you. My goal each week is to give you access to the world’ leading positive psychology, positive organizational scholarship and neuroscience researchers and practitioners to explore their latest research findings on how you can improve wellbeing, develop strengths, nurture positive relationships, make work meaningful and cultivate the grit to accomplish what matters most. If you want evidence-based approaches to bringing out the best in yourself and others at work, then consider this podcast your step-by-step guide.",https://podcasts.apple.com/us/podcast/making-positive-psychology-work-podcast/id1124670073,30-45,47,98,ENG,iTunes,"4,90",48
https://is3-ssl.mzstatic.com/image/thumb/Podcasts113/v4/fd/eb/63/fdeb63ac-deb5-9a51-9e0d-e90c46c43564/mza_5325000723537519725.jpg/268x0w.jpg,Coffee & Change,Bill Kirst,"Bill Kirst, an organizational change consultant, supports clients navigating change in order to thrive, to overcome personal obstacles and to reach their full potential. Bill's blended approach has been cultivated over many years by consulting with individuals and offering leadership in military service",https://podcasts.apple.com/us/podcast/coffee-change/id1344001831,15-50,11,32,ENG,iTunes,"4,80",11
http://cdn.simplefeed.com/mckinsey/Inside_the_strategy_room.jpg,Inside the Strategy Room,McKinsey Strategy & Corporate Finance,We talk with McKinsey partners and corporate executives on the challenges they face creating lasting strategies in a fast-changing world. We also examine the different ways these executives approach these challenges and the new and innovative ways they think of creating a vision for their enterprises.,https://podcasts.apple.com/us/podcast/inside-the-strategy-room/id1422814215,15-30,23,41,ENG,iTunes,"4,2",58
https://cdn-images-1.listennotes.com/podcasts/getting-unstuck-shift-for-impact-kirsten-PHjlsQniqRF.1400x1400.jpg,Getting Unstuck : Shift For Impact,Kirsten Richert & Jeff Ikler,"Innovation catalyst Kirsten Richert, and career and leadership coach Jeff Ikler help individuals and institutions think differently about change, not as something to fear, not as something they constantly have to react to, but as something they can initiate to have the impact they desire.Through these podcast episodes, they will expose listeners to innovative tools and experienced thought-leaders to help them get unstuck and move toward their desired goals.",https://podcasts.apple.com/us/podcast/getting-unstuck-shift-for-impact/id1439952788,10-40,53,86,ENG,iTunes,"5,00",24
https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fdaggerwinggroup.com%2Fwp-content%2Fuploads%2F2019%2F05%2FChange-at-work.png&f=1&nofb=1,CHANGE@WORK: A Podcast About the Human Side of Change Management,Daggerwing Group,"CHANGE@WORK is a podcast about the ever-evolving world of work and the human behaviors that drive it. Chris Thornton, Principal at Daggerwing Group, hosts and discusses what we've learned as change consultants with fellow colleagues, clients and partners. Tune in every month as we explore the human side of organizational change, who we are as a team and who we are as individuals. To learn more about us, visit daggerwinggroup.com",https://podcasts.apple.com/us/podcast/change-work-podcast-about-human-side-change-management/id1464242780,10-25,4,4,ENG,itunes,"5,00",4
https://i1.sndcdn.com/avatars-000582904527-3c687o-t500x500.jpg,Engaging People Podcast,DecisionWise,"Engaging People Podcast by DecisionWise is the premiere business, organizational change, and human resources podcast on the web. Listen to real life case studies and interviews with organizational change and human resources experts. Listen as they share best practices on how to increase employee engagement, how to give feedback, practical advice on how to be a leader, how to develop a thriving company culture, tips on management and team building, and real life business stories from years of practical work experience.",https://podcasts.apple.com/us/podcast/engaging-people-podcast/id1093486834,15-60,44,97,ENG,iTunes,"4,90",25
https://is4-ssl.mzstatic.com/image/thumb/Podcasts128/v4/01/52/ad/0152ad0b-3c95-2333-fbad-d0f63b8b80c1/mza_1219587417408965337.jpg/1200x630bb.png,"The Team Coaching Zone Podcast: Coaching, Teams, Leadership","Carissa Bub: Leadership Coach, Team Coach, C-Suite Advisor","Discover how team coaching can accelerate team development and performance, can foster the development of leadership cultures, can drive organizational change and more. Tune in for interviews with team coaching experts. Hear stories of ""hits and misses"" and essential lessons learned from conducting real team coaching engagements. Discover practical tools and resources to support your internal or external team coaching practice. The podcast is for new and experienced coaches, human resources and learning and development professionals, as well as leaders and managers of teams. Enter The Team Coaching Zone today!",https://podcasts.apple.com/us/podcast/the-team-coaching-zone-podcast-coaching-teams-leadership/id954639894,30-50,12,115,ENG,iTunes,"4,6",47
