,image,nom,pseudo,description,Type,nombre_tweets,date_dernier_tweet,nombre_followers,lien_twitter,lien_site
Entreprises à suivre,https://pbs.twimg.com/profile_images/932645063204761600/4U_iBEcu_400x400.jpg,Harvard Business,@HarvardHBS,Harvard Business School -- educating leaders who make a difference in the world. This is an official Harvard Business School-managed account.,Entreprise,15400,14.04.20,500700,https://twitter.com/HarvardHBS,hbs.edu
,https://pbs.twimg.com/profile_images/1145702050921144321/YNTN3TsO_400x400.png,Deloitte,@Deloitte,"Sharing the latest news, research, events and more from Deloitte Global and the Deloitte network of member firms. More http://deloitte.com/about",Entreprise,24400,18.03.20,503500,https://twitter.com/Deloitte,deloitte.com/global
,https://pbs.twimg.com/profile_images/1147063884634832897/bJFCWPNf_400x400.png,Accenture,@Accenture,"Improving the way the world works and lives. Follow for our latest updates, thought leadership, research and more.",Entreprise,21100,14.04.20,495000,https://twitter.com/Accenture,accenture.com
,https://pbs.twimg.com/profile_images/1145675960999710721/Q4LoVOCk_400x400.png,McKinsey & Company,@McKinsey,"Since 1926, the trusted advisor to the world's leading businesses, governments & institutions. More than 130+ offices in 65+ countries. Knowledge @McKQuarterly",Entreprise,11900,28.03.20,380200,https://twitter.com/McKinsey,mckinsey.com
,https://pbs.twimg.com/profile_images/3561385827/7fa5f5dce4a416efd578bc7bea23a694_400x400.png,Carthage Buckley,@carthagebuckley,"Stress and Performance Coaching for entrepreneurs, executives and ambitious professionals. Founder http://coachingpositiveperformance.com",Entreprise,143200,05.04.20,270700,https://twitter.com/carthagebuckley,coachingpositiveperformance.com
,https://pbs.twimg.com/profile_images/1253041060617629697/O5LbLjpe_400x400.jpg,Bain & Company,@BainAlerts,"Bain & Company serves global clients on issues of strategy, operations, technology, organization, digital transformation, and mergers and acquisitions.",Entreprise,12300,14.04.20,185000,https://twitter.com/BainAlerts,bain.com
,https://pbs.twimg.com/profile_images/1145622391797755904/dNKTjY4a_400x400.png,PwC,@PwC,Latest news and insights from and about the PwC worldwide network.,Entreprise,11600,10.04.20,151200,https://twitter.com/PwC,pwc.com
,https://pbs.twimg.com/profile_images/920978968567828480/yt6-EjmK_400x400.jpg,BCG Henderson Inst.,@BCGhenderson,The @BCG Henderson Institute brings ideas and inspiration that help forward thinking leaders shape their next game. Account formerly @bcgperspectives.,Entreprise,9610,13.03.20,150600,https://twitter.com/BCGhenderson,on.bcg.com/BHI
,https://pbs.twimg.com/profile_images/1123309632326393860/TdrhAEp5_400x400.png,Booz Allen Hamilton,@BoozAllen,"Sharing management consulting news, thought leadership, industry leading research and empowering people to change the world.",Entreprise,17500,02.04.20,52400,https://twitter.com/BoozAllen,boozallen.com
,https://pbs.twimg.com/profile_images/1215634300533645318/wAhN8Snf_400x400.jpg,Kearney,@kearney,Driven to be the difference between a big idea and making it happen. One of the original management consulting firms.,Entreprise,14000,10.01.20,43300,https://twitter.com/kearney,kearney.com
,https://pbs.twimg.com/profile_images/1151068310328500225/P-4RV5pd_400x400.png,KPMG France,@KPMG_France,"Leader de l'#audit & #conseil auprès des grands groupes français & internationaux, des #ETI, #PME, groupes familiaux, #startup, #scaleup, acteurs publics & #ESS",Entreprise,7787,11.04.20,20800,https://twitter.com/KPMG_France,kpmg.fr
,https://pbs.twimg.com/profile_images/879452904511242240/qRTi1qWR_400x400.jpg,"Being First, Inc.",@beingfirst,"#Empowering #Visionary #Leaders to #transform themselves & their #organizations to #Achieve #Breakthrough. #Culture #Teams 
#Conscious #Change #Leadership",Entreprise,4735,18.06.19,3544,https://twitter.com/beingfirst,-
,https://pbs.twimg.com/profile_images/1234499388/n367104918594_7014_400x400.jpg,PROJECT CONSULT,@PROJECTCONSULT_,"Independent Management Consultancy for Information Management, Project Management & Change Management in Germany | http://bit.ly/Imprssm",Entreprise,71100,14.04.20,1947,https://twitter.com/PROJECTCONSULT_,project-consult.de/impressum
,https://pbs.twimg.com/profile_images/884456960610979841/AZyVhGsX_400x400.jpg,Eagle's Flight,@Eagles__Flight,Powering employee development through experiential learning since 1988. Learn more about this powerful methodology and how you can use it here.,Entreprise,11900,14.04.20,1662,https://twitter.com/Eagles__Flight,https://t.co/QPObzVjoeh?amp=1
,https://pbs.twimg.com/profile_images/1228403292016971780/8OekReKk_400x400.jpg,Change Management,@CMCCenter,"A company designed to challenge the way companies manage change, and to dramatically impact the way companies evolve, adapt and expand.   Fast.",Entreprise,1647,14.04.20,959,https://twitter.com/CMCCenter,neverstopconquering.com
