Titre,Nom de la chaine,Date,Nb de vue,Lien de la vidéo,Code de la vidéo,Nb d'abonnés à la chaine,Auteur,Liens de la chaine,
Change anything! Use skillpower over willpower,TEDxTalks,4 décembre 2012,1384240,https://www.youtube.com/watch?v=3TX-Nu5wTS8,3TX-Nu5wTS8,24 M,Al Switzler,https://www.youtube.com/user/TEDxTalks,
How to start changing an unhealthy work environment,TEDxTalks,2 mai 2016,917448,https://www.youtube.com/watch?v=eYLb7WUtYt8,eYLb7WUtYt8,24 M,Glenn D. Rolfsen,https://www.youtube.com/user/TEDxTalks,
Embracing Change,TEDxTalks,22 décembre 2010,358469,https://www.youtube.com/watch?v=vPhM8lxibSU,vPhM8lxibSU,24 M,Jason Clarke,https://www.youtube.com/user/TEDxTalks,
3 ways to create a work culture that brings out the best in employees,TEDxTalks,15 avril 2019,45728,https://www.youtube.com/watch?v=2y8SA6cLUys,2y8SA6cLUys,24 M,Chris White,https://www.youtube.com/user/TEDxTalks,
The Heart of Change,Dr. John Kotter,23 mars 2011,205979,https://www.youtube.com/watch?v=1NKti9MyAAw,1NKti9MyAAw,8020,John Kotter,https://www.youtube.com/user/KotterInternational1,
How to Deal with Resistance to Change,TEDxTalks,30 juin 2015,136879,https://www.youtube.com/watch?v=79LI2fkNZ2k,79LI2fkNZ2k,24 M,Heather Stagl,https://www.youtube.com/user/TEDxTalks,
The inner side of Organizational Change,TEDxTalks,14 juin 2017,61805,https://www.youtube.com/watch?v=3n-c6iAKFgg,3n-c6iAKFgg,24 M,Thijs Homan,https://www.youtube.com/user/TEDxTalks,
Change Vs. Transformation,TEDxTalks,25 mai 2016,24129,https://www.youtube.com/watch?v=66UC7pJ2hwQ,66UC7pJ2hwQ,24 M ,Terry Jackson,https://www.youtube.com/user/TEDxTalks,
Creating Sustainable Organizational Culture Change in 80 Days,TEDxTalks,21 juin 2019,18621,https://www.youtube.com/watch?v=r2XE87EoI7M,r2XE87EoI7M,24 M,Arthur Carmazzi,https://www.youtube.com/user/TEDxTalks,
How to be a more effective agent of change,TEDxTalks,9 décembre 2014,17824,https://www.youtube.com/watch?v=ZR1Dn1HdSpA,ZR1Dn1HdSpA,24 M,Alan AtKisson,https://www.youtube.com/user/TEDxTalks,
How McKinsey Became One Of The Most Powerful Companies In The World,CNBC,6 juin 2019,1058848,https://www.youtube.com/watch?v=BBmmMj_maII,BBmmMj_maII,"1,52 M",Inconnu,https://www.youtube.com/user/cnbc,
Changing Corporate Culture,Boston Consulting Group,13 décembre 2013,3089,https://www.youtube.com/watch?v=BBfPdkXlhZk,BBfPdkXlhZk,"32,7 k",Jim Hemerling,https://www.youtube.com/user/TheBCGVideo,
Culture Change,Being First,30 avril 2014,2214,https://www.youtube.com/watch?v=HsNx7g-NORA,HsNx7g-NORA,2236,Linda Ackerman Anderson,https://www.youtube.com/user/beingfirst2,
Six keys to leading positive change,TEDxTalks,7 janvier 2013,444958,https://www.youtube.com/watch?v=owU5aTNPJbs,owU5aTNPJbs,24 M,Rosabeth Moss Kanter,https://www.youtube.com/user/TEDxTalks,
5 ways to lead in an era of constant change,TEDxTalks,3 novembre 2016,203660,https://www.youtube.com/watch?v=urntcMUJR9M,urntcMUJR9M,"16,7 M",Jim Hemerling,https://www.youtube.com/user/TEDxTalks,
Lead and be the change,TEDxTalks,11 décembre 2012,163179,https://www.youtube.com/watch?v=yv-QiSvuLLM,yv-QiSvuLLM,24 M,Mark Mueller-Eberstein,https://www.youtube.com/user/TEDxTalks,
Adaptive Leadership-Leading Change,TEDxTalks,13 avril 2011,100755,https://www.youtube.com/watch?v=af-cSvnEExM,af-cSvnEExM,24 M,Marty Linsky,https://www.youtube.com/user/TEDxTalks,
How Great Leaders Embrace Change,Gerard Adams,29 mars 2019,53220,https://www.youtube.com/watch?v=1dCHJ7n84PU,1dCHJ7n84PU,96000,John C Maxwell,https://www.youtube.com/channel/UCTlTCi6PIs1D9BSpC-oA4lQ,
